period,county,Total Dewormed,Acute Malnutrition,stunted 6-23 months,stunted 0-<6 months,stunted 24-59 months,diarrhoea cases,Underweight 0-<6 months,Underweight 6-23 months,Underweight 24-59 Months
2025-02-22,Trans Nzoia County,1108,9,109,83,21,1575,149,309,35
2025-02-22,Tharaka Nithi County,1766,3,273,75,44,1046,162,349,50
2025-02-22,Tana River County,2172,275,64,43,21,1876,83,503,174
2025-02-22,Taita Taveta County,1643,5,209,83,93,809,199,649,199
2025-02-22,Siaya County,3358,2,9,9,1,1620,288,123,42
2025-02-22,Samburu County,1787,10,38,53,65,2047,89,381,366
2025-02-22,Nyeri County,3629,16,252,159,20,1294,241,378,30
2025-02-22,Nyandarua County,1831,12,114,100,12,853,191,211,42
2025-02-22,Nyamira County,2134,2,106,71,33,1549,117,213,37
2025-02-22,Narok County,4742,13,41,73,45,2358,48,98,56
2025-02-22,Nandi County,4144,15.5,58,51,24,1585,131,276,41
2025-02-22,Nakuru County,11543,223,483,274,87,6230,789,1061,149
2025-02-22,Nairobi County,22157,327,1281,771,184,9891,1015,3015,343
2025-02-22,Muranga County,4060,13,837,247,115,1666,396,784,308
2025-02-22,Mombasa County,3241,319,401,98,95,3591,283,1241,287
2025-02-22,Migori County,6739,29,59,16,74,2281,69,151,123
2025-02-22,Meru County,3500,67,199,91,30,2371,221,499,37
2025-02-22,Marsabit County,2496,119,168,59,262,1483,78,935,1267
2025-02-22,Mandera County,2807,162,111,90,105,6994,123,300,477
2025-02-22,Makueni County,6619,30,332,88,106,2356,134,607,190
2025-02-22,Machakos County,4275,118,47,72,59,2945,450,692,215
2025-02-22,Lamu County,269,26,136,9,26,1131,19,57,25
2025-02-22,Laikipia County,2432,18,244,221,37,1087,363,441,76
2025-02-22,Kwale County,11179,43,355,245,283,2112,246,623,316
2025-02-22,Kitui County,4729,5,551,101,217,2520,236,878,359
2025-02-22,Kisumu County,4625,196,111,157,53,3272,183,376,58
2025-02-22,Kisii County,2400,3,51,13,9,2041,105,147,34
2025-02-22,Wajir County,9092,2697,27,142,217,3064,113,1458,1551
2025-02-22,West Pokot County,2746,10,60,13,24,3120,27,308,84
2025-03-22,Baringo County,3700,13,173,66,99,2781,94,772,538
2025-03-22,Bomet County,1388,1.5,127,1,5,1973,80,197,16
2025-03-22,Bungoma County,7919,7,207,32,38,4647,232,584,97
2025-03-22,Busia County,4024,2,274,147,55,2203,245,596,90
2025-03-22,Elgeyo Marakwet County,1070,26,74,83,3,2621,70,190,9
2025-03-22,Embu County,2673,57,235,96,34,956,145,584,99
2025-03-22,Garissa County,9127,239,17,10,128,1826,67,1047,989
2025-03-22,Homa Bay County,3472,10,294,104,17,1845,158,323,40
2025-03-22,Isiolo County,987,48,106,5,43,839,25,205,153
2025-03-22,Kajiado County,6691,102,322,88,33,6441,144,531,118
2025-03-22,Kakamega County,8496,23,269,240,81,4162,337,717,111
2025-03-22,Kericho County,2202,26,30,7,7,4377,109,342,158
2025-03-22,Kiambu County,7994,133,587,291,64,5612,598,1289,217
2025-03-22,Kilifi County,7719,16,1431,268,264,5786,300,1972,456
2025-03-22,Kirinyaga County,2274,2,279,218,68,1531,222,546,167
2025-03-22,Vihiga County,2569,28,140,37,12,1122,88,345,61
2025-03-22,Uasin Gishu County,5558,1,235,163,34,6191,236,796,87
2025-03-22,Turkana County,9837,586,558,202,476,8781,302,1766,1900
2025-03-22,Trans Nzoia County,1512,7,207,157,13,1731,236,476,49
2025-03-22,Tharaka Nithi County,1831,2,231,95,72,1008,153,503,125
2025-03-22,Tana River County,2299,338,30,3,17,1729,32,582,319
2025-03-22,Taita Taveta County,1381,5,135,101,96,631,202,624,152
2025-03-22,Siaya County,3719,2,40,55,138,2039,60,141,49
2025-03-22,Samburu County,1414,5,52,64,28,1977,82,265,289
2025-03-22,Nyeri County,3358,18,332,284,31,1137,420,593,50
